ITEM,INSTALL,DISCIPLINE,SUBCONTRACTOR,TAG,SYSTEM,DESCRIPTION,LEVEL,PQT DW,PQT BW,GQE,OBS
1,99591,INS,,#HKF.BW41=731.CKA63-WP02_A2 (PAG 001),FDS,ASD PIPE,6,,,,
2,99591,INS,,#HKF.BW41=731.CKA63-WP02_A2 (PAG 002),FDS,ASD PIPE,6,,,,
3,99591,INS,,#HKF.BW41=731.CKA63-WP02_A2 (PAG 003),FDS,ASD PIPE,6,,,,
4,99591,INS,,#HKF.BW41=731.CKA63-WP02_A2 (PAG 004),FDS,ASD PIPE,6,,,,
5,99591,OTHER,Cymi,#HKF.BW41=090.YQF01-UH01,-,OWF1 PATCH PANEL 3.1 CABINET,4,,,,
6,99591,OTHER,Cymi,#HKF.BW41=090.YQF01-UH03,-,NC3 Vestas Metering  (OWP Scope),4,,,,
7,99591,OTHER,Cymi,#HKF.BW41=090.YQF01-UH04,-,NC4 Vestas Metering  (OWP Scope),4,,,,
8,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=090.YQF01-UH05,-,OWF 1 EQUIPMENT CABINET,4,,,,
9,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF01,LTE,FLANGE OWF 1,1,,,,
10,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF02,LTE,FLANGE OWF 2,1,,,,
11,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF03,LTE,FLANGE OWF 3,1,,,,
12,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF04,LTE,FLANGE OWF 4,1,,,,
13,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF05,LTE,FLANGE OWF 5,1,,,,
14,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF06,LTE,FLANGE OWF 6,1,,,,
15,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF07,LTE,FLANGE OWF 7,1,,,,
16,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF08,LTE,FLANGE OWF 8,1,,,,
17,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF09,LTE,FLANGE OWF 9,1,,,,
18,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF10,LTE,FLANGE OWF 10,1,,,,
19,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF11,LTE,FLANGE OWF 11,1,,,,
20,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF12,LTE,FLANGE OWF 12,1,,,,
21,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF13,LTE,FLANGE OWF 13,1,,,,
22,99591,TEL,Cymi,#HKF.BW41=090.YQF01-WF14,LTE,FLANGE OWF 14,1,,,,
23,99591,TEL,,#HKF.BW41=090.YQF01-WF15,LTE,FLANGE OWF 15,1,,,,
24,99591,TEL,,#HKF.BW41=090.YQF01-WF16,LTE,FLANGE OWF 16,5,,,,
25,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=090.YQF02-UH01,-,OWF2 PATCH PANEL 4.1 CABINET,4,,,,
26,99591,TELECOM,Pine Inst y Montajes SAU,#HKF.BW41=090.YQF02-UH03,TELECOM,Telecom Cabinet - OWF Metering 4.1 Cabinet,4,,,,
27,99591,TELECOM,Pine Inst y Montajes SAU,#HKF.BW41=090.YQF02-UH04,TELECOM,Telecom Cabinet - OWF Metering 4.2 Cabinet,4,,,,
28,99591,OTHER,Dragados Offshore S.A.U.,#HKF.BW41=090.YQF02-UH05,-,OWF 2 EQUIPMENT CABINET,4,,,,
29,99591,OTHER,Cymi,#HKF.BW41=090.YQF03-UH01,-,OCP INTERFACE 1 CABINET,4,,,,
30,99591,OTHER,Cymi,#HKF.BW41=090.YQF03-UH02,-,OCP INTERFACE 2 CABINET,4,,,,
31,99591,OTHER,,#HKF.BW41=090.YQF03-UH03,-,OCP INTERFACE 3 CABINET,4,,,,
32,99591,OTHER,,#HKF.BW41=090.YQF03-UH04,-,OCP INTERFACE 4 CABINET,4,,,,
33,99591,OTHER,,#HKF.BW41=090.YQF03-UH05,-,OCP INTERFACE 5 CABINET,4,,,,
34,99591,INS,,#HKF.BW41=121.ATA11-EQ10.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
35,99591,INS,,#HKF.BW41=121.ATA11-EQ20.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
36,99591,INS,,#HKF.BW41=121.ATA11-EQ30.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
37,99591,INS,,#HKF.BW41=121.ATA11-EQ40.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
38,99591,OTHER,INNOMARITIME SL,#HKF.BW41=121.ATA11-TA01,-,Converter Transformer1 Starpoint1,5,,,,
39,99591,OTHER,Cymi,#HKF.BW41=121.ATA11-TA01.UC01,-,Transformer Control GH009,5,,,,
40,99591,INS,,#HKF.BW41=121.ATA21-EQ10.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
41,99591,INS,,#HKF.BW41=121.ATA21-EQ20.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
42,99591,INS,,#HKF.BW41=121.ATA21-EQ30.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
43,99591,INS,,#HKF.BW41=121.ATA21-EQ40.BF01,-,Temperature Transmitter / Flow Switch,5,,,,
44,99591,OTHER,INNOMARITIME SL,#HKF.BW41=121.ATA21-TA01,-,Converter Transformer2 Starpoint1,5,,,,
